model,train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_names
xgb_aggressive_top30,2025-11-05,2025-11-19,2025-11-20,2025-12-03,0.01645467400610039,-0.0026258848732880783,-0.017744839175110494,0.015118954301822415,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2025-11-05,2025-11-19,2025-11-20,2025-12-03,0.04976293658936598,-0.015316042101954001,-0.017744839175110494,0.002428797073156493,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2025-11-05,2025-11-19,2025-11-20,2025-12-03,0.06870628563916593,-0.0113506753579,-0.017744839175110494,0.006394163817210493,75,0.02631578947368421,0.0003508771929824561,75
ridge,2025-11-05,2025-11-19,2025-11-20,2025-12-03,-0.13273911523320572,-0.013400075936255978,-0.017744839175110494,0.004344763238854516,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2025-11-05,2025-11-19,2025-11-20,2025-12-03,,-0.008812814772586799,-0.017744839175110494,0.008932024402523695,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2025-12-03,2025-12-17,2025-12-18,2025-12-31,-0.029973574190392673,0.020529217131531375,0.0459158898904064,-0.025386672758875028,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2025-12-03,2025-12-17,2025-12-18,2025-12-31,0.0023633370592981645,0.023445776725660502,0.0459158898904064,-0.0224701131647459,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2025-12-03,2025-12-17,2025-12-18,2025-12-31,-0.003226149284375521,0.03473208260102351,0.0459158898904064,-0.01118380728938289,75,0.02631578947368421,0.0003508771929824561,75
ridge,2025-12-03,2025-12-17,2025-12-18,2025-12-31,-0.009612769350181452,0.05355944556012034,0.0459158898904064,0.00764355566971394,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2025-12-03,2025-12-17,2025-12-18,2025-12-31,,0.058249015349795145,0.0459158898904064,0.012333125459388743,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2025-12-31,2026-01-16,2026-01-19,2026-01-30,-0.08422839084203881,-0.02542870839332623,0.016743770007168868,-0.042172478400495095,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2025-12-31,2026-01-16,2026-01-19,2026-01-30,-0.03435992258629504,0.00021542946538508678,0.016743770007168868,-0.01652834054178378,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2025-12-31,2026-01-16,2026-01-19,2026-01-30,-0.024902130581028786,-0.009516331292722393,0.016743770007168868,-0.02626010129989126,75,0.02631578947368421,0.0003508771929824561,75
ridge,2025-12-31,2026-01-16,2026-01-19,2026-01-30,-0.0851134673361533,0.002799372029607404,0.016743770007168868,-0.013944397977561463,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2025-12-31,2026-01-16,2026-01-19,2026-01-30,,0.007929690969064193,0.016743770007168868,-0.008814079038104675,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2026-01-30,2026-02-13,2026-02-24,2026-03-09,0.11291992240667087,-0.03485603644377334,-0.0024222897891881257,-0.03243374665458521,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2026-01-30,2026-02-13,2026-02-24,2026-03-09,0.15820422486974,-0.027367451992608142,-0.0024222897891881257,-0.024945162203420017,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2026-01-30,2026-02-13,2026-02-24,2026-03-09,0.18736633193580807,-0.017954394440483103,-0.0024222897891881257,-0.015532104651294978,75,0.02631578947368421,0.0003508771929824561,75
ridge,2026-01-30,2026-02-13,2026-02-24,2026-03-09,0.1675169612788432,0.027135352782665812,-0.0024222897891881257,0.029557642571853938,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2026-01-30,2026-02-13,2026-02-24,2026-03-09,,-0.003955894718089218,-0.0024222897891881257,-0.0015336049289010924,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2026-03-09,2026-03-23,2026-03-24,2026-04-07,0.09270736822142707,0.03166539510858582,0.01752055741730163,0.01414483769128419,30,0.06451612903225806,0.002150537634408602,30
