name,ic,ic_std,split1_ic,split2_ic,split3_ic,elapsed_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda
combo_high_subsample_aggressive,0.14020844285632847,0.04610941180427247,0.08880500446414177,0.13116276392681428,0.20065756017802933,0.8453090190887451,400,5,0.02,0.8,0.65,10,1.0
final_depth_4,0.13912883905783438,0.04427552732087471,0.09248844482622845,0.12626908732413553,0.1986289850231392,0.8575780391693115,400,4,0.02,0.8,0.65,10,1.0
final_mcw_15,0.13822514373774122,0.045231498386630604,0.09266051204950783,0.12212647549212094,0.19988844367159486,0.7899045944213867,400,3,0.02,0.8,0.65,15,1.0
final_locked_depth3,0.1374571191603269,0.04549319152414655,0.09266051204950783,0.11986300210759863,0.19984784332387423,1.0616569519042969,400,3,0.02,0.8,0.65,10,1.0
combo_colsample_lr_deep,0.1374571191603269,0.04549319152414655,0.09266051204950783,0.11986300210759863,0.19984784332387423,1.090240240097046,400,3,0.02,0.8,0.65,10,1.0
combo_colsample_lr_deeper,0.13233500407560228,0.03985754196224908,0.08518270686902998,0.12916360834270726,0.18265869701506957,0.8874378204345703,400,6,0.02,0.8,0.65,10,1.0
final_reg_0.5,0.12927442069566134,0.03347200603057757,0.09266051204950783,0.12159812942075945,0.1735646206167167,0.9939098358154297,400,3,0.02,0.8,0.65,10,0.5
final_mcw_5,0.12833563811647913,0.032889783381378386,0.09266051204950783,0.12032613533215349,0.1720202669677761,0.9928174018859863,400,3,0.02,0.8,0.65,5,1.0
final_reg_1.5,0.12735155879120028,0.03197284498126035,0.09266051204950783,0.11958149574110381,0.16981266858298918,1.2263994216918945,400,3,0.02,0.8,0.65,10,1.5
combo_high_sampling,0.12644793842866775,0.054205899685498535,0.0582794667865613,0.13016419857540268,0.1909001499240393,0.7623817920684814,400,5,0.02,0.75,0.65,10,1.0
combo_lower_lr,0.1253362043560954,0.056573697195028874,0.053955101445004025,0.12973093449521997,0.19232257712806228,1.0608067512512207,400,5,0.01,0.7,0.65,10,1.0
combo_stable_lr,0.1249605709973819,0.05605181959756192,0.05395335742984166,0.12994874830151443,0.19097960726078964,0.8012778759002686,400,5,0.02,0.7,0.65,10,2.0
combo_max_colsample,0.12448952251240646,0.05541999223425489,0.053955101445004025,0.13016391478927225,0.18934955130294306,0.8632559776306152,400,5,0.02,0.7,0.7,10,1.0
combo_all_winners,0.12448952251240646,0.05541999223425489,0.053955101445004025,0.13016391478927225,0.18934955130294306,1.0847570896148682,400,5,0.02,0.7,0.65,10,1.0
final_depth_2,0.12425588828439378,0.06629270261695223,0.0407377725287292,0.12912826989752238,0.20290162242692977,1.5029292106628418,400,2,0.02,0.8,0.65,10,1.0
combo_stable_focused,0.12353541709066751,0.05412101255142178,0.054515888698406775,0.1293946223957541,0.18669574017784163,0.911613941192627,400,5,0.02,0.7,0.65,20,1.0
combo_ic_focused,0.12100946258098016,0.06757956711084008,0.03975245224594516,0.11806652595583012,0.20520940954116523,0.8506972789764404,400,4,0.02,0.7,0.65,10,1.0
combo_balanced,0.11924065309994751,0.06385299275432035,0.0405186330624092,0.12028796196061926,0.19691536427681405,0.9588961601257324,400,4,0.02,0.7,0.65,20,1.0
combo_high_lr,0.1191227622040801,0.05129155212349582,0.054515888698406775,0.12286575602053396,0.17998664189329955,0.9056243896484375,400,5,0.03,0.7,0.65,20,1.0
baseline,0.11025623665718738,0.04670160709255124,0.04739716793361094,0.12413261554925822,0.15923892648869298,0.6480445861816406,400,5,0.05,0.8,0.8,10,1.0
